time 1685445130 765210, type 3, code 0, value 39261
time 1685445130 765210, type 0, code 0, value 0
time 1685445130 782747, type 3, code 0, value 39295
time 1685445130 782747, type 0, code 0, value 0
time 1685445130 797503, type 3, code 0, value 39329
time 1685445130 797503, type 0, code 0, value 0
time 1685445130 805524, type 3, code 0, value 39363
time 1685445130 805524, type 0, code 0, value 0
time 1685445130 813508, type 3, code 0, value 39431
time 1685445130 813508, type 0, code 0, value 0
time 1685445130 822606, type 3, code 0, value 39534
time 1685445130 822606, type 0, code 0, value 0
time 1685445130 829507, type 3, code 0, value 39670
time 1685445130 829507, type 0, code 0, value 0
time 1685445130 837419, type 3, code 0, value 39841
time 1685445130 837419, type 3, code 1, value 32819
time 1685445130 837419, type 0, code 0, value 0
time 1685445130 845398, type 3, code 0, value 39943
time 1685445130 845398, type 0, code 0, value 0
time 1685445130 854177, type 3, code 0, value 39978
time 1685445130 854177, type 3, code 1, value 32888
time 1685445130 854177, type 0, code 0, value 0
time 1685445130 879874, type 3, code 1, value 32958
time 1685445130 879874, type 0, code 0, value 0
time 1685445130 895488, type 3, code 0, value 39670
time 1685445130 895488, type 3, code 1, value 33166
time 1685445130 895488, type 0, code 0, value 0
time 1685445130 903614, type 3, code 0, value 39363
time 1685445130 903614, type 3, code 1, value 33443
time 1685445130 903614, type 0, code 0, value 0
time 1685445130 911430, type 3, code 0, value 38339
time 1685445130 911430, type 3, code 1, value 33929
time 1685445130 911430, type 0, code 0, value 0
time 1685445130 919709, type 3, code 0, value 37793
